country,iso2c,year,value,indicator
Pakistan,PK,2024,3.23478443210148,gdp_growth
Pakistan,PK,2023,-0.0398389716673506,gdp_growth
Pakistan,PK,2022,4.7781068690358,gdp_growth
Pakistan,PK,2021,6.51388575852702,gdp_growth
Pakistan,PK,2020,-1.27408744338709,gdp_growth
Pakistan,PK,2019,2.49763692943365,gdp_growth
Pakistan,PK,2018,6.15170261099519,gdp_growth
Pakistan,PK,2017,4.43262590683975,gdp_growth
Pakistan,PK,2016,6.57383828511043,gdp_growth
Pakistan,PK,2015,4.21794209572506,gdp_growth
Pakistan,PK,2014,4.11642817161422,gdp_growth
Pakistan,PK,2013,4.36686504978387,gdp_growth
Pakistan,PK,2012,3.02758391088629,gdp_growth
Pakistan,PK,2011,2.68011685421705,gdp_growth
Pakistan,PK,2010,1.50171752152883,gdp_growth
Pakistan,PK,2009,3.47255059567348,gdp_growth
Pakistan,PK,2008,2.1204410433083,gdp_growth
Pakistan,PK,2007,4.4448143398844,gdp_growth
Pakistan,PK,2006,6.05163767569996,gdp_growth
Pakistan,PK,2005,7.2765744364722,gdp_growth
Pakistan,PK,2004,7.83125556961251,gdp_growth
Pakistan,PK,2003,5.40131087314342,gdp_growth
Pakistan,PK,2002,2.59481668445784,gdp_growth
Pakistan,PK,2001,3.65135017083765,gdp_growth
Pakistan,PK,2000,4.2600880111325,gdp_growth
Pakistan,PK,1999,3.66013273943236,gdp_growth
Pakistan,PK,1998,2.55023429817393,gdp_growth
Pakistan,PK,1997,1.01439601077892,gdp_growth
Pakistan,PK,1996,4.84658128681654,gdp_growth
Pakistan,PK,1995,4.96260914623281,gdp_growth
Pakistan,PK,1994,3.73741555767747,gdp_growth
Pakistan,PK,1993,1.7577476978468,gdp_growth
Pakistan,PK,1992,7.70589781716029,gdp_growth
Pakistan,PK,1991,5.06156775897861,gdp_growth
Pakistan,PK,1990,4.45858681510218,gdp_growth
Pakistan,PK,2024,1484.74985864775,gdp_per_capita
Pakistan,PK,2023,1365.16927410976,gdp_per_capita
Pakistan,PK,2022,1538.3228133171,gdp_per_capita
Pakistan,PK,2021,1455.31922370186,gdp_per_capita
Pakistan,PK,2020,1278.39735206896,gdp_per_capita
Pakistan,PK,2019,1390.41690981745,gdp_per_capita
Pakistan,PK,2018,1569.33814626355,gdp_per_capita
Pakistan,PK,2017,1519.23459514248,gdp_per_capita
Pakistan,PK,2016,1424.69161195897,gdp_per_capita
Pakistan,PK,2015,1380.47020838317,gdp_per_capita
Pakistan,PK,2014,1266.61340849959,gdp_per_capita
Pakistan,PK,2013,1225.4340119198,gdp_per_capita
Pakistan,PK,2012,1204.36475491585,gdp_per_capita
Pakistan,PK,2011,1131.73513834324,gdp_per_capita
Pakistan,PK,2010,987.304571124485,gdp_per_capita
Pakistan,PK,2009,963.788066395225,gdp_per_capita
Pakistan,PK,2008,1067.04324565284,gdp_per_capita
Pakistan,PK,2007,998.090114197524,gdp_per_capita
Pakistan,PK,2006,900.873564984808,gdp_per_capita
Pakistan,PK,2005,827.619861189926,gdp_per_capita
Pakistan,PK,2004,771.902247348954,gdp_per_capita
Pakistan,PK,2003,672.44178669894,gdp_per_capita
Pakistan,PK,2002,599.937345723927,gdp_per_capita
Pakistan,PK,2001,609.939506905073,gdp_per_capita
Pakistan,PK,2000,642.338346499898,gdp_per_capita
Pakistan,PK,1999,418.249257055367,gdp_per_capita
Pakistan,PK,1998,424.453697798497,gdp_per_capita
Pakistan,PK,1997,438.030942680153,gdp_per_capita
Pakistan,PK,1996,456.996961832943,gdp_per_capita
Pakistan,PK,1995,450.550279346206,gdp_per_capita
Pakistan,PK,1994,399.955927561352,gdp_per_capita
Pakistan,PK,1993,407.888140688466,gdp_per_capita
Pakistan,PK,1992,395.67720859593,gdp_per_capita
Pakistan,PK,1991,380.019843346229,gdp_per_capita
Pakistan,PK,1990,344.45547384189,gdp_per_capita
Pakistan,PK,2024,12.6325318530452,inflation
Pakistan,PK,2023,30.7681280657005,inflation
Pakistan,PK,2022,19.8738599646655,inflation
Pakistan,PK,2021,9.49621056124947,inflation
Pakistan,PK,2020,9.73999313898155,inflation
Pakistan,PK,2019,10.5783618004555,inflation
Pakistan,PK,2018,5.07805725868917,inflation
Pakistan,PK,2017,4.08537368032608,inflation
Pakistan,PK,2016,3.7651191635658,inflation
Pakistan,PK,2015,2.52932817254229,inflation
Pakistan,PK,2014,7.18938402847028,inflation
Pakistan,PK,2013,7.69215611899565,inflation
Pakistan,PK,2012,9.68235186055684,inflation
Pakistan,PK,2011,11.9160927116277,inflation
Pakistan,PK,2010,12.9388705634889,inflation
Pakistan,PK,2009,13.6477650639761,inflation
Pakistan,PK,2008,20.2861210929554,inflation
