country,iso2c,year,value,indicator
Pakistan,PK,1990,4.45858681510218,gdp_growth
Pakistan,PK,1990,40010423970.4576,gdp_current
Pakistan,PK,1990,344.45547384189,gdp_per_capita
Pakistan,PK,1990,9.05213155279776,inflation
Pakistan,PK,1990,NA,unemployment
Pakistan,PK,1990,5917028934.69827,exports
Pakistan,PK,1990,8100453419.34278,imports
Pakistan,PK,1990,245262963.460759,fdi
Pakistan,PK,1990,116155576,population
Pakistan,PK,1990,30.576,urban_pop
Pakistan,PK,1990,59.728,life_expectancy
Pakistan,PK,1990,NA,literacy
Pakistan,PK,1991,5.06156775897861,gdp_growth
Pakistan,PK,1991,45625336680.2047,gdp_current
Pakistan,PK,1991,380.019843346229,gdp_per_capita
Pakistan,PK,1991,11.7912703351416,inflation
Pakistan,PK,1991,0.611,unemployment
Pakistan,PK,1991,7725461182.02971,exports
Pakistan,PK,1991,8434875710.52096,imports
Pakistan,PK,1991,258414487.035348,fdi
Pakistan,PK,1991,120060406,population
Pakistan,PK,1991,30.826,urban_pop
Pakistan,PK,1991,59.864,life_expectancy
Pakistan,PK,1991,NA,literacy
Pakistan,PK,1992,7.70589781716029,gdp_growth
Pakistan,PK,1992,48884671947.4657,gdp_current
Pakistan,PK,1992,395.67720859593,gdp_per_capita
Pakistan,PK,1992,9.5090414619015,inflation
Pakistan,PK,1992,0.596,unemployment
Pakistan,PK,1992,8442738387.45654,exports
Pakistan,PK,1992,9984113697.29231,imports
Pakistan,PK,1992,336479857.130617,fdi
Pakistan,PK,1992,123546848,population
Pakistan,PK,1992,31.077,urban_pop
Pakistan,PK,1992,59.983,life_expectancy
Pakistan,PK,1992,NA,literacy
Pakistan,PK,1993,1.7577476978468,gdp_growth
Pakistan,PK,1993,51809999353.1614,gdp_current
Pakistan,PK,1993,407.888140688466,gdp_per_capita
Pakistan,PK,1993,9.97366476029209,inflation
Pakistan,PK,1993,0.61,unemployment
Pakistan,PK,1993,8394305116.6868,exports
Pakistan,PK,1993,11552190707.3422,imports
Pakistan,PK,1993,348556957.814185,fdi
Pakistan,PK,1993,127020117,population
Pakistan,PK,1993,31.329,urban_pop
Pakistan,PK,1993,60.083,life_expectancy
Pakistan,PK,1993,NA,literacy
Pakistan,PK,1994,3.73741555767747,gdp_growth
Pakistan,PK,1994,52293470813.1336,gdp_current
Pakistan,PK,1994,399.955927561352,gdp_per_capita
Pakistan,PK,1994,12.3681943936948,inflation
Pakistan,PK,1994,0.617,unemployment
Pakistan,PK,1994,8449778027.40581,exports
Pakistan,PK,1994,9883122490.28425,imports
Pakistan,PK,1994,421024638.454288,fdi
Pakistan,PK,1994,130748083,population
Pakistan,PK,1994,31.582,urban_pop
Pakistan,PK,1994,60.197,life_expectancy
Pakistan,PK,1994,NA,literacy
Pakistan,PK,1995,4.96260914623281,gdp_growth
Pakistan,PK,1995,60636071684.1918,gdp_current
Pakistan,PK,1995,450.550279346206,gdp_per_capita
Pakistan,PK,1995,12.3435785170513,inflation
Pakistan,PK,1995,0.632,unemployment
Pakistan,PK,1995,10132269178.8685,exports
Pakistan,PK,1995,11777213240.079,imports
Pakistan,PK,1995,722631560.660743,fdi
Pakistan,PK,1995,134582253,population
Pakistan,PK,1995,31.836,urban_pop
Pakistan,PK,1995,60.273,life_expectancy
Pakistan,PK,1995,NA,literacy
Pakistan,PK,1996,4.84658128681654,gdp_growth
Pakistan,PK,1996,63320170084.4076,gdp_current
Pakistan,PK,1996,456.996961832943,gdp_per_capita
Pakistan,PK,1996,10.3738085885002,inflation
Pakistan,PK,1996,0.616,unemployment
Pakistan,PK,1996,10703072793.5879,exports
Pakistan,PK,1996,13567628711.2634,imports
Pakistan,PK,1996,921976182.51983,fdi
Pakistan,PK,1996,138557092,population
Pakistan,PK,1996,32.092,urban_pop
Pakistan,PK,1996,60.466,life_expectancy
Pakistan,PK,1996,NA,literacy
Pakistan,PK,1997,1.01439601077892,gdp_growth
Pakistan,PK,1997,62433340468.0228,gdp_current
Pakistan,PK,1997,438.030942680153,gdp_per_capita
Pakistan,PK,1997,11.3754928865122,inflation
Pakistan,PK,1997,0.631,unemployment
Pakistan,PK,1997,10040500610.948,exports
Pakistan,PK,1997,12967600154.0064,imports
